iteration,loss_dis_a,loss_dis_b,loss_dis_total,loss_gen_adv_a,loss_gen_adv_b,loss_gen_cyc_x_a,loss_gen_cyc_x_b,loss_gen_recon_kl_a,loss_gen_recon_kl_b,loss_gen_recon_kl_cyc_aba,loss_gen_recon_kl_cyc_bab,loss_gen_recon_x_a,loss_gen_recon_x_b,loss_gen_total,loss_gen_vgg_a,loss_gen_vgg_b
55,1.0161212682724,1.1385037899017334,2.1546249389648438,1.6033132076263428,1.5617672204971313,0.436081200838089,0.5952850580215454,5.056304931640625,5.318554878234863,5.402027130126953,5.0603814125061035,0.4109298288822174,0.5329458713531494,23.125871658325195,0,0
110,0.7400371432304382,0.5986267924308777,1.338663935661316,1.9177744388580322,2.2352192401885986,0.4114033877849579,0.5760148167610168,4.021841526031494,4.35810661315918,4.335164546966553,3.986419677734375,0.3898249864578247,0.5152071714401245,23.24451446533203,0,0
165,0.540658175945282,0.44702062010765076,0.9876787662506104,2.181720733642578,2.308091402053833,0.4095274806022644,0.5448969602584839,3.3919851779937744,3.826669692993164,3.7225663661956787,3.3481621742248535,0.38206717371940613,0.4891210198402405,22.888832092285156,0,0
220,0.5480785965919495,0.3789501190185547,0.9270287156105042,2.2282166481018066,2.3219118118286133,0.4047420024871826,0.5426455140113831,3.0464799404144287,3.4065895080566406,3.2495639324188232,3.003746747970581,0.38047102093696594,0.4842453598976135,22.798229217529297,0,0
275,0.5487451553344727,0.35232797265052795,0.9010730981826782,2.15773868560791,2.5427329540252686,0.3996914029121399,0.5592482089996338,2.764740467071533,3.2699365615844727,3.0997955799102783,2.7316195964813232,0.38068199157714844,0.4971207082271576,23.186555862426758,0,0
330,0.46893247961997986,0.3233782649040222,0.7923107147216797,2.323324203491211,2.4822044372558594,0.39344942569732666,0.5162044763565063,2.584327220916748,2.9562430381774902,2.833439826965332,2.526346445083618,0.37842628359794617,0.47170695662498474,22.512401580810547,0,0
385,0.45702970027923584,0.3126415014266968,0.7696712017059326,2.374682903289795,2.5095973014831543,0.39201784133911133,0.5098241567611694,2.353449583053589,2.754575490951538,2.6347007751464844,2.3081862926483154,0.37764713168144226,0.465128093957901,22.43096160888672,0,0
440,0.41796883940696716,0.28639233112335205,0.7043612003326416,2.4353084564208984,2.5840697288513184,0.38882437348365784,0.5318178534507751,2.2322258949279785,2.6365468502044678,2.4289770126342773,2.2203164100646973,0.3776211440563202,0.48070356249809265,22.90422821044922,0,0
495,0.42712634801864624,0.22788628935813904,0.6550126075744629,2.341017961502075,2.6265058517456055,0.3933112919330597,0.5743963122367859,2.1237082481384277,2.5654454231262207,2.2747843265533447,2.135380744934082,0.37643933296203613,0.4915158152580261,23.415143966674805,0,0
550,0.39757511019706726,0.2610185742378235,0.6585936546325684,2.4952259063720703,2.626049041748047,0.38661307096481323,0.5027768015861511,2.0320212841033936,2.3191559314727783,2.163771390914917,2.0542209148406982,0.37558743357658386,0.4583711326122284,22.440448760986328,0,0
605,0.3880085349082947,0.22684578597545624,0.6148543357849121,2.431602954864502,2.6560797691345215,0.39043524861335754,0.5126239657402039,1.9586485624313354,2.271573543548584,2.0919172763824463,1.9482470750808716,0.3744625449180603,0.4637472927570343,22.58307647705078,0,0
660,0.36016935110092163,0.19169467687606812,0.5518640279769897,2.4614052772521973,2.739285469055176,0.39035871624946594,0.5113762617111206,1.8745787143707275,2.2129721641540527,1.9718929529190063,1.9105390310287476,0.37614762783050537,0.4716469645500183,22.775686264038086,0,0
715,0.4110196828842163,0.14511172473430634,0.5561314225196838,2.3264472484588623,2.7667441368103027,0.3876442015171051,0.5166707634925842,1.7926852703094482,2.200751781463623,1.9165126085281372,1.8759123086929321,0.37326982617378235,0.4752311110496521,22.69921112060547,0,0
770,0.31876158714294434,0.13541314005851746,0.4541747272014618,2.4483864307403564,2.8251261711120605,0.3851163685321808,0.5084855556488037,1.7640223503112793,2.1304500102996826,1.8738170862197876,1.805125117301941,0.3729594349861145,0.4661068916320801,22.675928115844727,0,0
825,0.3120766878128052,0.14772957563400269,0.45980626344680786,2.50270938873291,2.703730583190918,0.38554587960243225,0.49814465641975403,1.7121278047561646,2.024329662322998,1.8072558641433716,1.7603304386138916,0.3736373484134674,0.4517665505409241,22.370424270629883,0,0
880,0.31119051575660706,0.1307421326637268,0.44193264842033386,2.536991596221924,2.737027168273926,0.3927628993988037,0.5024346113204956,1.7117003202438354,2.0449109077453613,1.797909140586853,1.7314887046813965,0.3775102198123932,0.46007633209228516,22.67471694946289,0,0
935,0.29120007157325745,0.11223220080137253,0.40343227982521057,2.490386486053467,2.813032627105713,0.38527485728263855,0.4988752007484436,1.6286274194717407,1.9993126392364502,1.7055189609527588,1.686287522315979,0.3740278482437134,0.4570774734020233,22.52617073059082,0,0
990,0.29091858863830566,0.09369930624961853,0.3846178948879242,2.5846617221832275,2.7971627712249756,0.39100271463394165,0.5177434086799622,1.6095038652420044,2.0580732822418213,1.6796913146972656,1.6978472471237183,0.37515339255332947,0.47346943616867065,23.025962829589844,0,0
1045,0.28357353806495667,0.0889030396938324,0.37247657775878906,2.5159807205200195,2.8547210693359375,0.3839508295059204,0.4988711178302765,1.5552446842193604,1.98394775390625,1.641531229019165,1.6300382614135742,0.3725917935371399,0.4591330885887146,22.584278106689453,0,0
1100,0.2713124752044678,0.08067042380571365,0.35198289155960083,2.5624849796295166,2.8544304370880127,0.38845232129096985,0.5278002619743347,1.564124345779419,2.055318593978882,1.6524664163589478,1.6633553504943848,0.3750702142715454,0.4737350344657898,23.1368465423584,0,0
1155,0.2671053111553192,0.08609245717525482,0.35319775342941284,2.5721893310546875,2.8730416297912598,0.38360050320625305,0.4889693856239319,1.5240180492401123,1.9047995805740356,1.5630565881729126,1.5965317487716675,0.3714551031589508,0.45231059193611145,22.474470138549805,0,0
1210,0.2736333906650543,0.09571126848459244,0.36934465169906616,2.5251059532165527,2.7541344165802,0.3890785276889801,0.4918631911277771,1.5095996856689453,1.9220378398895264,1.5434321165084839,1.5954748392105103,0.3724212944507599,0.4536895453929901,22.41547203063965,0,0
1265,0.26989492774009705,0.07579348981380463,0.3456884026527405,2.521878719329834,2.896104335784912,0.3849169611930847,0.491083025932312,1.4633995294570923,1.9340626001358032,1.5611095428466797,1.6099164485931396,0.37019696831703186,0.4529589116573334,22.475229263305664,0,0
1320,0.2669963538646698,0.08257702738046646,0.34957337379455566,2.578406810760498,2.8213651180267334,0.3847915232181549,0.48658713698387146,1.4502196311950684,1.899044394493103,1.5619304180145264,1.5868866443634033,0.369828462600708,0.4455510079860687,22.332334518432617,0,0
1375,0.2787596583366394,0.09135475009679794,0.37011441588401794,2.499049663543701,2.7718753814697266,0.3836497366428375,0.48763397336006165,1.4541075229644775,1.872991681098938,1.5742868185043335,1.5645198822021484,0.36860236525535583,0.4446316957473755,22.180761337280273,0,0
1430,0.27340012788772583,0.08794670552015305,0.3613468408584595,2.611219882965088,2.9287304878234863,0.383779376745224,0.5030930042266846,1.444462776184082,1.9392929077148438,1.5423805713653564,1.5950573682785034,0.36839213967323303,0.4518180191516876,22.675989151000977,0,0
1485,0.316556841135025,0.1036221981048584,0.4201790392398834,2.5100905895233154,2.866942882537842,0.3884062170982361,0.546631932258606,1.4260298013687134,2.0400025844573975,1.539361834526062,1.6676380634307861,0.37052690982818604,0.4677615761756897,23.177030563354492,0,0
1540,0.25392207503318787,0.07419676333665848,0.32811883091926575,2.6086881160736084,2.830109119415283,0.38154837489128113,0.4928281009197235,1.36719810962677,1.909031867980957,1.4937114715576172,1.5760552883148193,0.3675869405269623,0.44930848479270935,22.414976119995117,0,0
1595,0.3013566732406616,0.10173778235912323,0.40309447050094604,2.4701905250549316,2.7916760444641113,0.38252580165863037,0.48305246233940125,1.3695299625396729,1.8653504848480225,1.5025001764297485,1.4633938074111938,0.36820322275161743,0.44094938039779663,22.071182250976562,0,0
1650,0.256710946559906,0.08535217493772507,0.34206312894821167,2.6151692867279053,2.822174549102783,0.3819476068019867,0.4819188416004181,1.3536062240600586,1.8470655679702759,1.5122857093811035,1.4399851560592651,0.36831122636795044,0.4398922026157379,22.219573974609375,0,0
1705,0.265987753868103,0.1512003093957901,0.41718804836273193,2.579751968383789,2.848278045654297,0.38331761956214905,0.4939759373664856,1.3512156009674072,1.8611847162246704,1.5943459272384644,1.37745201587677,0.36842891573905945,0.44580137729644775,22.405109405517578,0,0
1760,0.24145232141017914,0.06871683150529861,0.31016916036605835,2.608158588409424,2.8998122215270996,0.3821274936199188,0.4911733567714691,1.348093867301941,1.8271414041519165,1.5293365716934204,1.395463228225708,0.36804813146591187,0.4455738365650177,22.43819808959961,0,0
1815,0.262023389339447,0.07521292567253113,0.33723631501197815,2.5426323413848877,2.819575786590576,0.3794148564338684,0.4985145628452301,1.3217041492462158,1.90457284450531,1.5358083248138428,1.4530565738677979,0.36523494124412537,0.4520549178123474,22.37655258178711,0,0
1870,0.3231108486652374,0.06995943933725357,0.3930702805519104,2.441574811935425,2.927427053451538,0.3774881362915039,0.4828278124332428,1.3005726337432861,1.8260201215744019,1.588800072669983,1.350318193435669,0.36652153730392456,0.4427720606327057,22.125755310058594,0,0
1925,0.25714030861854553,0.07335634529590607,0.3304966688156128,2.632948637008667,2.8141186237335205,0.3783027231693268,0.5006403923034668,1.3144844770431519,1.8591622114181519,1.5490628480911255,1.3920551538467407,0.3675389587879181,0.4492224156856537,22.465259552001953,0,0
1980,0.24038301408290863,0.13015083968639374,0.37053385376930237,2.634117603302002,2.6345484256744385,0.37743130326271057,0.4929359257221222,1.2846934795379639,1.8304688930511475,1.4912112951278687,1.3528249263763428,0.365840882062912,0.4492063820362091,22.182403564453125,0,0
2035,0.26057347655296326,0.07291632890701294,0.3334898054599762,2.543004035949707,2.8813419342041016,0.38039225339889526,0.4897305369377136,1.2989497184753418,1.8237380981445312,1.4798489809036255,1.3885000944137573,0.3677855134010315,0.4450998306274414,22.31433868408203,0,0
2090,0.2574903964996338,0.08048763871192932,0.3379780352115631,2.6630048751831055,2.6857426166534424,0.3832777142524719,0.5052104592323303,1.270958423614502,1.912975549697876,1.4730700254440308,1.4011287689208984,0.3676925003528595,0.4560840427875519,22.5319766998291,0,0
2145,0.2745097875595093,0.13039137423038483,0.4049011468887329,2.5217525959014893,2.6111960411071777,0.38395774364471436,0.48671844601631165,1.3242733478546143,1.7736209630966187,1.5195643901824951,1.3751323223114014,0.36850106716156006,0.43680867552757263,21.952735900878906,0,0
2200,0.24573028087615967,0.11553118377923965,0.3612614572048187,2.525446891784668,2.8261566162109375,0.37801623344421387,0.4898100197315216,1.328942894935608,1.7552319765090942,1.5779742002487183,1.31448495388031,0.36516496539115906,0.43685510754585266,22.109832763671875,0,0
2255,0.2329835295677185,0.08130887150764465,0.31429240107536316,2.650963068008423,2.8324859142303467,0.3763796091079712,0.4869789779186249,1.3203626871109009,1.7535476684570312,1.5219804048538208,1.3381094932556152,0.36452779173851013,0.4376988112926483,22.19864273071289,0,0
2310,0.22128243744373322,0.056600164622068405,0.2778826057910919,2.620335340499878,2.939995050430298,0.37714269757270813,0.4995780289173126,1.3095027208328247,1.7913223505020142,1.4745780229568481,1.327323079109192,0.3661758303642273,0.44699031114578247,22.518226623535156,0,0
2365,0.23525327444076538,0.06523397564888,0.3004872500896454,2.518752098083496,2.9770801067352295,0.37656131386756897,0.4797658920288086,1.2860990762710571,1.7044219970703125,1.4093327522277832,1.2905378341674805,0.3657578229904175,0.4356411099433899,22.12999725341797,0,0
2420,0.23242518305778503,0.16817687451839447,0.4006020426750183,2.5573019981384277,2.602451801300049,0.38082218170166016,0.4965311884880066,1.2609570026397705,1.7737696170806885,1.4346879720687866,1.3101664781570435,0.3667081296443939,0.4460388720035553,22.118555068969727,0,0
2475,0.2502838969230652,0.08380936086177826,0.33409327268600464,2.5408222675323486,2.8473825454711914,0.3825978636741638,0.4817544221878052,1.2654392719268799,1.716878890991211,1.432666540145874,1.2564661502838135,0.3674747943878174,0.43805941939353943,22.143783569335938,0,0
2530,0.22541555762290955,0.0457906648516655,0.27120622992515564,2.735602855682373,2.938742160797119,0.38003289699554443,0.49428340792655945,1.2535563707351685,1.7442106008529663,1.397629976272583,1.2687058448791504,0.3660292327404022,0.44570988416671753,22.591541290283203,0,0
2585,0.2469036728143692,0.06498243659734726,0.31188610196113586,2.64058518409729,2.916693925857544,0.37411123514175415,0.476828008890152,1.2343069314956665,1.7228310108184814,1.3542993068695068,1.2731314897537231,0.36379027366638184,0.43484365940093994,22.108856201171875,0,0
2640,0.23915225267410278,0.054256193339824677,0.29340845346450806,2.5973782539367676,2.899109125137329,0.3761741518974304,0.4915626347064972,1.2151505947113037,1.7577097415924072,1.3271689414978027,1.262913465499878,0.3658454418182373,0.44372764229774475,22.32521629333496,0,0
2695,0.23007412254810333,0.05995534732937813,0.29002946615219116,2.6137161254882812,2.9169647693634033,0.3779679238796234,0.4758368134498596,1.2348052263259888,1.6761844158172607,1.3698253631591797,1.229297399520874,0.3664340674877167,0.43651771545410156,22.15334701538086,0,0
2750,0.23073548078536987,0.058158595114946365,0.28889408707618713,2.715203285217285,2.8331518173217773,0.379609614610672,0.4901250898838043,1.209666132926941,1.6851904392242432,1.3001644611358643,1.1988903284072876,0.3659702241420746,0.43765926361083984,22.3359375,0,0
2805,0.21156452596187592,0.055631544440984726,0.26719605922698975,2.675175189971924,2.9900882244110107,0.37405937910079956,0.4779868423938751,1.2318861484527588,1.6719722747802734,1.343808650970459,1.229770302772522,0.36480867862701416,0.43331924080848694,22.22178077697754,0,0
2860,0.21685025095939636,0.05493123084306717,0.27178147435188293,2.740873336791992,2.929326057434082,0.37379997968673706,0.475473016500473,1.2111254930496216,1.6450791358947754,1.3150768280029297,1.1795779466629028,0.3646829426288605,0.4318705201148987,22.181974411010742,0,0
2915,0.20916065573692322,0.040793102234601974,0.2499537616968155,2.64914608001709,2.9137144088745117,0.37708693742752075,0.4971342384815216,1.205823302268982,1.7443745136260986,1.3131026029586792,1.2298908233642578,0.3663400709629059,0.4444929361343384,22.468332290649414,0,0
2970,0.22187839448451996,0.05523307994008064,0.2771114706993103,2.6491000652313232,2.878718852996826,0.3744381368160248,0.4657149314880371,1.2094624042510986,1.6207014322280884,1.330004334449768,1.174789309501648,0.36524638533592224,0.4288719892501831,21.92388343811035,0,0
3025,0.22764520347118378,0.0453479066491127,0.2729931175708771,2.6846275329589844,2.9249136447906494,0.37700363993644714,0.49921002984046936,1.2075496912002563,1.773433804512024,1.3281433582305908,1.2264404296875,0.3658520579338074,0.4457223415374756,22.542776107788086,0,0
3080,0.2289457619190216,0.05422322452068329,0.2831689715385437,2.561661720275879,2.916342258453369,0.37747445702552795,0.47076287865638733,1.2001285552978516,1.639151692390442,1.3367505073547363,1.1911903619766235,0.36448565125465393,0.43098101019859314,21.968713760375977,0,0
3135,0.2522011399269104,0.050808366388082504,0.3030095100402832,2.5824062824249268,2.9492697715759277,0.374816358089447,0.4938233196735382,1.1917043924331665,1.730868935585022,1.3516420125961304,1.2260284423828125,0.3648379147052765,0.4411483407020569,22.33293914794922,0,0
3190,0.22725604474544525,0.06646488606929779,0.29372093081474304,2.6166937351226807,2.8619112968444824,0.37386688590049744,0.4796459674835205,1.1723066568374634,1.714755892753601,1.3035180568695068,1.2160826921463013,0.3641050457954407,0.43536415696144104,22.06249237060547,0,0
3245,0.2329893410205841,0.08224406838417053,0.31523340940475464,2.691695213317871,3.047132730484009,0.37905269861221313,0.48133182525634766,1.193479061126709,1.684861183166504,1.3629415035247803,1.1933259963989258,0.366102397441864,0.43540215492248535,22.412063598632812,0,0
3300,0.22143100202083588,0.07190921157598495,0.29334020614624023,2.6116292476654053,2.8803319931030273,0.37724965810775757,0.4931378960609436,1.1805791854858398,1.705273151397705,1.3182239532470703,1.211104393005371,0.3663979768753052,0.44104939699172974,22.324462890625,0,0
3355,0.2529807984828949,0.3709622919559479,0.6239430904388428,2.6725428104400635,2.706577777862549,0.3814845085144043,0.48687416315078735,1.20229172706604,1.7145687341690063,1.275399923324585,1.2322081327438354,0.36673614382743835,0.43862271308898926,22.170541763305664,0,0
3410,0.23656778037548065,0.1783788800239563,0.41494667530059814,2.618110179901123,2.524535655975342,0.37777435779571533,0.4683065414428711,1.1629443168640137,1.7289741039276123,1.4199899435043335,1.1759185791015625,0.364895224571228,0.4159395396709442,21.4666805267334,0,0
3465,0.22929540276527405,0.08063895255327225,0.3099343478679657,2.7072088718414307,2.8285090923309326,0.3735325038433075,0.468292772769928,1.1556451320648193,1.7398793697357178,1.4092440605163574,1.1458426713943481,0.36403688788414,0.41251128911972046,21.773958206176758,0,0
3520,0.21810156106948853,0.08482252061367035,0.30292409658432007,2.634913921356201,2.826531171798706,0.3736993968486786,0.46753814816474915,1.164365291595459,1.700923204421997,1.4087698459625244,1.1420637369155884,0.3647894561290741,0.4102473556995392,21.67835235595703,0,0
3575,0.21113045513629913,0.06701499968767166,0.2781454622745514,2.596508502960205,2.8679065704345703,0.3718268573284149,0.4695657789707184,1.1717727184295654,1.7605657577514648,1.4258015155792236,1.1807485818862915,0.3641192615032196,0.4129222333431244,21.704145431518555,0,0
3630,0.2556399405002594,0.09712348133325577,0.35276341438293457,2.4423437118530273,2.709933280944824,0.37104061245918274,0.45600515604019165,1.1582276821136475,1.662130355834961,1.404121994972229,1.1275782585144043,0.3635750710964203,0.4054574966430664,21.166582107543945,0,0
3685,0.23711970448493958,0.07869705557823181,0.3158167600631714,2.5780746936798096,2.9163103103637695,0.3753891885280609,0.46674320101737976,1.1755115985870361,1.7669572830200195,1.4243699312210083,1.1744588613510132,0.364810049533844,0.40822696685791016,21.701492309570312,0,0
